Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (�)
Department of Health,NHS Barnsley CCG,30/11/2018,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH SERVICES - ADULTS,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,24808497,"222,122.00"
Department of Health,NHS Barnsley CCG,30/11/2018,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH SERVICES - OLDER PEOPLE,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,24808497,"26,034.00"
Department of Health,NHS Barnsley CCG,31/12/2018,Clinical&Medical-Commercial Sector,NCAS/OATS,SPAMEDICA LTD,25289047,"80,266.46"
Department of Health,NHS Barnsley CCG,31/12/2018,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,TRUST CARE LTD,25330495,"50,760.00"
Department of Health,NHS Barnsley CCG,31/12/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WHITE ROSE MEDICAL PRACTICE,25102986,"74,429.18"
Department of Health,NHS Barnsley CCG,31/12/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,WHITE ROSE MEDICAL PRACTICE,25102986,12.58
Department of Health,NHS Barnsley CCG,31/12/2018,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,WHITE ROSE MEDICAL PRACTICE,25102986,"2,188.86"
Department of Health,NHS Barnsley CCG,31/12/2018,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,WHITE ROSE MEDICAL PRACTICE,25102986,319.38
Department of Health,NHS Barnsley CCG,31/12/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,WHITE ROSE MEDICAL PRACTICE,25102986,"17,485.37"
Department of Health,NHS Barnsley CCG,31/12/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WHITE ROSE MEDICAL PRACTICE,25102986,"6,630.93"
Department of Health,NHS Barnsley CCG,31/12/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WOODLAND DRIVE MEDICAL CENTRE,25110018,"43,548.75"
Department of Health,NHS Barnsley CCG,31/12/2018,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,WOODLAND DRIVE MEDICAL CENTRE,25110018,"2,314.20"
Department of Health,NHS Barnsley CCG,31/12/2018,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,WOODLAND DRIVE MEDICAL CENTRE,25110018,980.00
Department of Health,NHS Barnsley CCG,31/12/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,WOODLAND DRIVE MEDICAL CENTRE,25110018,3.35
Department of Health,NHS Barnsley CCG,31/12/2018,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,WOODLAND DRIVE MEDICAL CENTRE,25110018,363.30
Department of Health,NHS Barnsley CCG,31/12/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,WOODLAND DRIVE MEDICAL CENTRE,25110018,"1,107.86"
Department of Health,NHS Barnsley CCG,31/12/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,WOODLAND DRIVE MEDICAL CENTRE,25110018,"1,573.00"
Department of Health,NHS Barnsley CCG,31/12/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WOODLAND DRIVE MEDICAL CENTRE,25110018,"4,023.80"
Department of Health,NHS Barnsley CCG,31/12/2018,Hcare Srv Rec NHS Trust-Contract Baseline,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,25058651,"55,687.00"
Department of Health,NHS Barnsley CCG,31/12/2018,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,25058655,"656,905.00"
Department of Health,NHS Barnsley CCG,31/12/2018,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,25058663,"125,065.40"
Department of Health,NHS Barnsley CCG,31/07/2018,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,ASC HEALTHCARE LTD,22968719,"46,119.01 "
Department of Health,NHS Barnsley CCG,31/07/2018,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,ASC HEALTHCARE LTD,23116064,"44,631.43 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22946986,"27,984.64 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-APMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22946986,140.00 
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22946986,"1,310.42 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22946986,448.00 
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22946986,"2,327.36 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22946989,"29,859.23 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22946989,3.52 
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22946989,"6,200.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22946989,"1,748.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22946989,840.00 
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22946989,"2,727.89 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22975963,"33,547.72 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22975963,"2,150.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-APMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22975963,"7,057.88 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22975963,492.00 
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22975963,560.00 
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION,22975963,"2,420.56 "
Department of Health,NHS Barnsley CCG,31/07/2018,Programme Support Costs,GP FORWARD VIEW,BARNSLEY HEALTHCARE FEDERATION,23116267,"132,164.41 "
Department of Health,NHS Barnsley CCG,31/07/2018,Clinical&Medical-Commercial Sector,OUT OF HOURS,BARNSLEY HEALTHCARE FEDERATION,23129803,"124,715.53 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION CIC (GOLDTHORPE),22956434,"43,911.26 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION CIC (GOLDTHORPE),22956434,15.50 
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION CIC (GOLDTHORPE),22956434,"11,654.20 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BARNSLEY HEALTHCARE FEDERATION CIC (GOLDTHORPE),22956434,"4,158.04 "
Department of Health,NHS Barnsley CCG,30/06/2018,Clinical&Medical-Serv Recd-F Trsts,INTERMEDIATE CARE,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22731768,"92,500.00 "
Department of Health,NHS Barnsley CCG,30/06/2018,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22806217,"10,847.00 "
Department of Health,NHS Barnsley CCG,30/06/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22806217,"562,297.00 "
Department of Health,NHS Barnsley CCG,30/06/2018,Hcare Srv Rec Fdtn Trust-CQUIN,INTERMEDIATE CARE,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22806220,"5,042.00 "
Department of Health,NHS Barnsley CCG,30/06/2018,Hcare Srv Rec Fdtn Trust-CQUIN,LONG TERM CONDITIONS,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22806220,"3,826.00 "
Department of Health,NHS Barnsley CCG,30/06/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,INTERMEDIATE CARE,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22806220,"201,654.00 "
Department of Health,NHS Barnsley CCG,30/06/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,LONG TERM CONDITIONS,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22806220,"153,046.00 "
Department of Health,NHS Barnsley CCG,30/06/2018,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22806221,"270,572.00 "
Department of Health,NHS Barnsley CCG,30/06/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22806221,"11,398,649.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,Cont Care- Prior Year Payments,CHC AD FULL FUND PERS HLTH BUD,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23173314,"(757,488.95)"
Department of Health,NHS Barnsley CCG,31/07/2018,Cont Care- Prior Year Payments,CHC AD FULL FUND PERS HLTH BUD,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23173320,"(334,026.36)"
Department of Health,NHS Barnsley CCG,31/07/2018,Cont Care- Prior Year Payments,FUNDED NURSING CARE,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23173323,"(389,715.00)"
Department of Health,NHS Barnsley CCG,31/07/2018,Cont Care- Prior Year Payments,CHC AD JNT FUND PERS HLTH BUD,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23173325,"(658,446.52)"
Department of Health,NHS Barnsley CCG,31/07/2018,Cont Care- Prior Year Payments,CHC AD FULL FUND PERS HLTH BUD,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23173336,"(690,288.18)"
Department of Health,NHS Barnsley CCG,31/07/2018,Clinical&Medical-Othe Public Sector,Mental Health Services - S117 Mental Health,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23208827,"33,492.22 "
Department of Health,NHS Barnsley CCG,31/07/2018,Cont Care- Prior Year Payments,CHC AD JNT FUND PERS HLTH BUD,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23213077,"658,446.52 "
Department of Health,NHS Barnsley CCG,31/07/2018,Cont Care- Prior Year Payments,CHC AD FULL FUND PERS HLTH BUD,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23213089,"690,288.18 "
Department of Health,NHS Barnsley CCG,31/07/2018,Cont Care- Prior Year Payments,CHC AD FULL FUND PERS HLTH BUD,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23213098,"334,026.36 "
Department of Health,NHS Barnsley CCG,31/07/2018,Cont Care- Prior Year Payments,CHC AD FULL FUND PERS HLTH BUD,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23213109,"757,488.95 "
Department of Health,NHS Barnsley CCG,31/07/2018,Cont Care- Prior Year Payments,FUNDED NURSING CARE,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23213118,"389,715.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23213154,"294,618.28 "
Department of Health,NHS Barnsley CCG,31/07/2018,Clinical&Medical-Othe Public Sector,COMMISSIONING - NON ACUTE,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23213169,"1,079,722.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,Services From Local Authorities,SAFEGUARDING,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23213169,"18,911.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,Soc Care-Other Soc Care,COMMUNITY SERVICES,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23213169,"359,750.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,Soc Care-Re-ablement services,COMMUNITY SERVICES,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23213169,"576,750.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,Social Care-Res Long Stay Exp,COMMUNITY SERVICES,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23213169,"45,750.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,Social Care-Res Long Stay Exp,LONG TERM CONDITIONS,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23213169,"1,278,750.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,Social Care-Res Short Stay Exp,COMMUNITY SERVICES,BARNSLEY METROPOLITAN BOROUGH COUNCIL,23213169,"202,500.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,22873525,"34,887.30 "
Department of Health,NHS Barnsley CCG,31/07/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,23213182,"34,887.30 "
Department of Health,NHS Barnsley CCG,30/06/2018,Clinical&Medical-Voluntary Sector,CHILD AND ADOLESCENT MENTAL HEALTH,CHILDREN & YOUNG PEOPLES EMPOWERMENT PROJECT LTD,22820354,"40,000.00 "
Department of Health,NHS Barnsley CCG,30/06/2018,Clinical&Medical-Voluntary Sector,CHILD AND ADOLESCENT MENTAL HEALTH,CHILDREN & YOUNG PEOPLES EMPOWERMENT PROJECT LTD,22820356,"42,818.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,22873514,"(28,506.00)"
Department of Health,NHS Barnsley CCG,31/07/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,23115984,"53,719.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,23213183,"(26,666.00)"
Department of Health,NHS Barnsley CCG,31/07/2018,Soc Care-Bed-Based Int Care Servs,INTERMEDIATE CARE,CROWN CARE (IV) LTD,23129785,"25,928.57 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23182732,"82,616.66 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23182732,"5,104.78 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23182732,"25,297.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23182732,"2,021.85 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23182732,"7,981.53 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946991,"47,297.64 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946991,14.26 
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946991,"24,437.50 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946991,"2,406.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946991,"3,886.85 "
Department of Health,NHS Barnsley CCG,30/06/2018,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,22687627,"6,094.00 "
Department of Health,NHS Barnsley CCG,30/06/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,22687627,"522,583.00 "
Department of Health,NHS Barnsley CCG,30/06/2018,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,22806042,"36,728.00 "
Department of Health,NHS Barnsley CCG,30/06/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,22806042,"(238,678.00)"
Department of Health,NHS Barnsley CCG,30/06/2018,Cont Care- Prior Year Payments,CHC ADULT JOINT FUNDED,DONCASTER METROPOLITAN BOROUGH COUNCIL,22820337,"62,016.65 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946963,"96,808.35 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946963,12.18 
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946963,"20,733.65 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946963,"1,987.50 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946963,345.00 
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946963,"10,374.08 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946967,"56,633.79 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946967,"4,425.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946967,"21,355.85 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946967,"5,139.74 "
Department of Health,NHS Barnsley CCG,31/07/2018,Prescribing Incentives,COMMISSIONING SCHEMES,NHS BARNSLEY CCG GP PRACTICE,23224663,"35,617.50 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23182734,"74,628.33 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23182734,679.04 
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23182734,"4,558.08 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23182734,"1,092.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23182734,"7,953.33 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23182736,"92,018.11 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23182736,"5,366.84 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23182736,"4,375.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23182736,"3,062.89 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23182736,"1,572.92 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23182736,"1,286.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23182736,"9,471.17 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946969,"(1,138.81)"
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946969,"(6,616.13)"
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946969,(199.24)
Department of Health,NHS Barnsley CCG,31/07/2018,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946969,(610.96)
Department of Health,NHS Barnsley CCG,31/07/2018,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946969,"(13,458.04)"
Department of Health,NHS Barnsley CCG,31/07/2018,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946969,"(14,231.97)"
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946970,"142,443.68 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946970,"24,600.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946970,"6,333.33 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946970,"2,075.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,22946970,"13,531.04 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS BARNSLEY CCG GP PRACTICE,23210219,"(78,020.88)"
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23210219,"(5,588.00)"
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS BARNSLEY CCG GP PRACTICE,23210220,"143,871.65 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Prof fees Dispensing,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23210220,"28,295.10 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,NHS BARNSLEY CCG GP PRACTICE,23210220,"5,588.00 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23190299,"22,073.14 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23190299,404.79 
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23190299,"1,591.85 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23190299,"2,173.13 "
Department of Health,NHS Barnsley CCG,31/07/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS BARNSLEY CCG GP PRACTICE,23182738,"40,115.98 "
