"SUPPLIER_STANDARD_NAME","CCGCount","Spending"
"DESIGNS IN MIND C.I.C.",1,105000
"DEVON LINK UP",1,41400
"DEVON PRIMARY CARE COUNSELLING SERVICE CIC",1,65120
"DIMENSIONS SOMERSET SEV LIMITED",1,39399.82
"DISABILITY NORTH",1,128995.31
"DONISTHORPE HALL",1,583348.83
"DORSET ADVOCACY",1,79656
"DORSET COMMUNITY ACTION",1,34340
"DUDLEY STROKE ASSOCIATION",1,112886
"DURHAM COUNTY CARERS SUPPORT",1,41000
"EALING CVS",1,25000
"EARL MOUNTBATTEN HOSPICE",1,3118790.8
"EAST COAST COMMUNITY HEALTHCARE C.I.C.",1,26301566.22
"EAST MIDLANDS CROSSROADS-CARING FOR CARERS",1,534000
"EATING DISORDERS SUPPORT",1,234512.94
"EDEN VALLEY HOSPICE, CARLISLE",1,605138.16
"EDWARD'S TRUST",1,76160
"EIKON",1,92000
"ELLENOR",1,1249467.84
"EMH CARE AND SUPPORT LIMITED",1,53300
"ENABLE LEISURE AND CULTURE",1,166258
"ENABLE2 C.I.C.",1,672760.48
"ENCOMPASS (DORSET)",1,103170.42
"ENFIELD DISABILITY ACTION",1,161153.16
"ENHAM TRUST",1,82973.69
"EPIC ELM C.I.C.",1,111600
"EQUINOX",1,269963.25
"ESSEX COMMUNITY FOUNDATION",1,763760
"FACT",1,75000
"FAMILY MATTERS",1,144990
"FAVERSHAM COUNSELLING SERVICE LIMITED",1,204960
"FIRST CHOICE HOMES OLDHAM LIMITED",1,45000
"FIRST STEP TRUST",1,387368.4
"FOCUS INDEPENDENT ADULT SOCIAL WORK C.I.C.",1,6195702
"FORTIS LIVING LIMITED",1,137580
"FRAMEWORK HOUSING ASSOCIATION",1,314495
"FRANCIS HOUSE",1,166939
"FREED BEECHES",1,32216.03
"FREEMANTLE TRUST",1,2648657.26
"FRIENDS OF THE ELDERLY",1,197859.34
"FULL OF LIFE",1,60000
"GATESHEAD CARERS ASSOCIATION",1,339067
"GATESHEAD COMMUNITY BASED CARE SERVICES LIMITED",1,141958.3
"GLEBE HOUSING ASSOCIATION LIMITED",1,304582.27
"GLOUCESTERSHIRE RAPE AND SEXUAL ABUSE CENTRE",1,57000
"GOTODOC LIMITED",1,2648114.04
"GREAT YARMOUTH & WAVENEY MIND",1,362722
"GREATER MANCHESTER SPORTS PARTNERSHIP",1,499567.76
"H4ALL C.I.C.",1,547977.54
"HALE",1,433800
"HALTON HAVEN HOSPICE",1,1358562
"HAMMERSMITH & FULHAM MENCAP",1,40000
"HAMMERSMITH AND FULHAM ASSOCIATION FOR MENTAL HEALTH",1,38892
"HARLINGTON HOSPICE ASSOCIATION",1,113028.72
"HARROW HEALTH C.I.C.",1,5097240.3
"HARTLEPOOL CARERS",1,26477
"HARTLEPOOL MIND",1,1110093.44
"HEADWAY BEDFORD",1,151797.5
"HEADWAY ESSEX",1,76730.15
"HEADWAY SHROPSHIRE",1,351834.45
"HEALTH EXCHANGE",1,130131
"HEALTHWATCH BOLTON",1,146362
"HEALTHWATCH HOUNSLOW",1,35000
"HEALTHWATCH LAMBETH",1,50000
"HEALTHWATCH SUFFOLK CIC",1,55000
"HEALTHWATCH SURREY C.I.C.",1,38720
"HEALTHWATCH WAKEFIELD",1,34138
"HEALTHY MINDS",1,50000
"HEAR US",1,103036.4
"HEART OF ENGLAND NHS FOUNDATION TRUST CHARITY",1,45777
"HELEN & DOUGLAS HOUSE",1,75000
"HELP AND CARE",1,701999.94
"HELP ON YOUR DOORSTEP",1,30000
"HEREFORDSHIRE MIND ASSOCIATION",1,394412
"HERRIOT HOSPICE HOMECARE",1,125000
"HERTS MIND NETWORK LTD",1,40000
"HFT",1,153380.15
"HILLINGDON MIND",1,59011
"HOLLYBANK SCHOOL",1,61984.44
"HOME-START (HULL)",1,136117.38
"HOME-START HOST LTD",1,80742
"HOME-START STROUD AND GLOUCESTER",1,40000
"HOMELESS HEALTH C.I.C.",1,126012.84
"HOMESTART",1,52700
"HONEYWOOD HOUSE NURSING HOME",1,26607.06
"HORTON HOUSING ASSOCIATION",1,80696.5
"HOSPICE AT HOME CARLISLE AND NORTH LAKELAND",1,283589
"HOSPICE AT HOME WEST CUMBRIA",1,287560
"HOSPICE OF THE GOOD SHEPHERD",1,826000
"HOSPISCARE",1,1163064
"HYDE PHYSIOTHERAPY CENTRE",1,583975
"HYNDBURN & RIBBLE VALLEY CVS",1,498594
"IDEAL FOR ALL LIMITED",1,28438.59
"IMAGO COMMUNITY",1,45453.3
"IMPACT INITIATIVES",1,35222
"IMPROVING LIVES PLYMOUTH",1,49107.5
"INSPIRE CORNWALL CIC",1,26800
"INTERCOM",1,50536
"INVOLVE NORTH EAST",1,337282
"ISABEL HOSPICE",1,1744269.75
"ISLINGTON AGE CONCERN",1,420599
"JAFFRAY CARE SOCIETY",1,420689.3
"JOHN BENNETT",1,34031.83
"JOHN TAYLOR HOSPICE",1,3936289
"KALEIDOSCOPE PLUS GROUP",1,532109
"KANE FM LIMITED",1,90000
"KENSINGTON AND CHELSEA MENTAL HEALTH ASSOCIATION",1,246600
"KENSINGTON AND CHELSEA SOCIAL COUNCIL",1,1114365
"KERNOW HEALTH CIC",1,3386421.32
"KEYRING-LIVING SUPPORT NETWORKS",1,152700
"KIDS HEALTH MATTERS CIC",1,25000
"KINGSTON VOLUNTARY ACTION",1,69600
"KNOW DEMENTIA",1,57450
"L I V E S",1,209713.68
"LACE HOUSING LIMITED",1,110000
"LANGLEY HOUSE TRUST",1,34373.6
"LANGWORTHY CORNERSTONE ASSOCIATION LTD",1,407120.48
"LEARNING DISABILITY NETWORK LONDON LIMITED",1,48000
"LEEDS BEREAVEMENT FORUM",1,38674
"LEEDS COMMUNITY FOUNDATION",1,274820
"LEEDS JEWISH WELFARE BOARD",1,161355.61
"LEEDS MIND",1,1021250.55
"LEEDS SURVIVOR LED CRISIS SERVICES",1,458799.33
"LEWIS MANNING HOSPICE",1,312000
"LINCOLNSHIRE CARE ASSOCIATION LIMITED",1,30000
"LINCOLNSHIRE COMMUNITY AND VOLUNTARY SERVICE",1,99630
"LINDSEY LODGE HOSPICE",1,497879.75
"LIVING WELL CONSORTIUM LTD.",1,1478160.44
"LOFTY HEIGHTS C.I.C.",1,40000
"LONGFIELD HOSPICE CARE",1,219639
"M6 THEATRE COMPANY LIMITED",1,25000
"MACINTYRE CARE",1,50000
"MACMILLAN CANCER SUPPORT",1,25561.52
"MAGGIE KESWICK JENCKS CANCER CARING CENTRES TRUST ENGLAND",1,25000
"MAKING YOUR MIND UP CIC",1,75000
"MANCHESTER CARE AND REPAIR",1,147000
"MANCHESTER CARERS CENTRE",1,80904
"MANOR GARDENS WELFARE TRUST",1,133328
"MARTHA TRUST",1,438921.21
"MARY ANN EVANS HOSPICE",1,295431.25
"MAUNDY RELIEF",1,29068
"MEEBBB HEALTH CIC",1,2958504.02
"MENTAL HEALTH NORTHANTS COLLABORATION",1,117009
"MERSEYSIDE YOUTH ASSOCIATION LIMITED",1,222236
"MIDDLESBROUGH ENVIRONMENT CITY TRUST LIMITED",1,49200
"MIDLANDS PSYCHOLOGY C.I.C",1,418833.3
"MILESTONES",1,33335
"MILTON KEYNES URGENT CARE SERVICES COMMUNITY INTEREST COMPANY",1,4176907.12
"MIND",1,397873.5
"MIND IN BARNET",1,74763
"MIND IN BEXLEY",1,2316496
"MIND IN BRIGHTON & HOVE",1,399493
"MIND IN CROYDON",1,618209.85
"MIND IN ENFIELD",1,96102
"MINDSONG",1,80000
"MISSION CARE",1,1015853.35
"MOSAIC CLUBHOUSE",1,140000
"MOSAIC II",1,151525
"MOTHERS FOR MOTHERS",1,38000
"MURRAY HALL COMMUNITY TRUST",1,32698
"MUSEUM OF EAST ANGLIAN LIFE",1,60000
"MY SUPPORT BROKER C.I.C.",1,100803.8
"MYTIME ACTIVE",1,86105
"NATIONAL CHILDREN'S BUREAU",1,25000
"NATIONAL SCHIZOPHRENIA FELLOWSHIP",1,27999.6
"NAZARETH CARE CHARITABLE TRUST",1,138178.27
"NDVA",1,74500
"NESTA",1,90000
"NEURO THERAPY CENTRE LTD",1,117837
"NEUROMUSCULAR CENTRE",1,32000
"NEURORESPONSE CIC",1,50000
"NEW LIFE CARE",1,50025
"NEW PROGRESS HOUSING ASSOCIATION LIMITED",1,27153.6
"NEW WORTLEY COMMUNITY ASSOCIATION LIMITED",1,31225
"NEWCASTLE CVS",1,372803.4
"NIGHTINGALE HAMMERSON",1,494543.68
"NO LIMITS (SOUTH)",1,323784
"NO.5 YOUNG PEOPLE",1,29345
"NORFOLK COMMUNITY FOUNDATION",1,52000
"NORTH BANK FORUM",1,1e+05
"NORTH DEVON HOSPICE",1,1190399.2
"NORTH EAST AUTISM SOCIETY",1,78416.46
"NORTH EAST COUNSELLING SERVICES C.I.C.",1,37500
"NORTH KENT MIND",1,1471830
"NORTH SOMERSET COMMUNITY PARTNERSHIP COMMUNITY INTEREST COMPANY",1,27363412.94
"NORTH TYNESIDE COMMUNITY AND HEALTH CARE FORUM COMMUNITY INTEREST COMPANY",1,55000
"NORTH TYNESIDE VOLUNTARY ORGANISATIONS DEVELOPMENT AGENCY",1,90670
"NORTH YORKSHIRE HOSPICE CARE",1,868230
"NORTHAMPTONSHIRE CARERS",1,1107067.4
"NORTHORPE HALL CHILD & FAMILY TRUST",1,94174
"NOTTINGHAMSHIRE LOCAL MEDICAL COMMITTEE LIMITED",1,40000
"NUFFIELD HOSPITALS",1,199158
"NUGENT CARE",1,25800
"OAKHAVEN HOSPICE TRUST",1,591276
"OAKLEAF",1,1148553.02
"OASIS TALKING THERAPIES CIC",1,1710097.39
"OFF THE RECORD (BRISTOL)",1,41000
"ONE CARE (BNSSG) C.I.C.",1,8795348.71
"ONE WALSALL LTD",1,40000
"ONWARD HOMES LIMITED",1,399360
"OPEN AGE",1,170000
"OPEN DOOR, YOUNG PEOPLE'S CONSULTATION SERVICE",1,75000
"OPEN MINDS COUNSELLING SERVICE LTD",1,31000
"OPEN ROAD VISIONS",1,61250
"OPTIMUM PATIENT CARE LIMITED",1,41520
"OPTIONS FOR LIFE",1,122095.14
"OPTIVO",1,146571.75
"OSEL ENTERPRISES LIMITED",1,105624
"OUT OF HOURS WEST LANCASHIRE C.I.C.",1,526929.92
"OUTREACH 3 WAY",1,393272.47
"OVERGATE HOSPICE",1,1050120
"OXFORDSHIRE MIND",1,1155250
"P & R CARE CIC",1,32448
"P3",1,82155
"PANKHURST TRUST",1,302500
"PAPYRUS PREVENTION OF YOUNG SUICIDE",1,50000
"PAUL FOR BRAIN RECOVERY",1,50000
"PCC CIC LTD",1,288000
"PEABODY TRUST",1,266551
"PEACE HOSPICE CARE",1,928543.75
"PENDERELS TRUST",1,37361.31
"PENDLESIDE HOSPICE",1,957789
"PENHALIGON'S FRIENDS",1,25000
"PENTREATH LIMITED",1,578691.46
"PERTHYN",1,33430.61
"PETERBOROUGH COUNCIL FOR VOLUNTARY SERVICE",1,27421.24
"PHYLLIS TUCKWELL HOSPICE",1,1672227.26
"PICKERING MEDICAL PRACTICE",1,1813702.8
"PILGRIM HOMES",1,34145.79
"PIONEER WOUND HEALING CENTRES CIC",1,35026.76
"PIONEERING CARE PARTNERSHIP",1,302500
"POOLE RIGHTS ORGANISATION ON DISABILITY",1,5167096.29
"POPLAR AND LIMEHOUSE HEALTH AND WELLBEING NETWORK CIC",1,382218.79
"PORTLAND COLLEGE",1,26551.66
"POSSABILITY PEOPLE LIMITED",1,390000
"PRE-SCHOOL LEARNING ALLIANCE",1,319000
"PRESCQIPP C.I.C.",1,37771.2
"PRIMARY CARE CHESHIRE CIC",1,543491.7
"PRIMARY CARE DEVELOPMENT CENTRE (NOTTINGHAM) LTD",1,42103
"PRIMARY CARE WIRRAL LIMITED",1,1615009.5
"PROFESSIONAL RECORD STANDARDS BODY FOR HEALTH AND SOCIAL CARE C.I.C.",1,35343.5
"PROMISING FUTURES",1,782543.77
"PSS",1,178150.52
"PUBLIC SERVICE TRANSFORMATION ACADEMY LIMITED",1,39600
"PUMPING MARVELLOUS FOUNDATION",1,66000
"PUSHING CHANGE",1,30000
"QUANTUM CARE LIMITED",1,37471.43
"QUAY HEALTH SOLUTIONS CIC",1,3085939.08
"QUEEN'S HALL ACTION ON POVERTY",1,91989
"REAL DPO LTD",1,92399.84
"REAL LIFE OPTIONS",1,468471.21
"RECOCO",1,186550.2
"RED ZEBRA COMMUNITY SOLUTIONS",1,243690
"REFUGEE ACTION KINGSTON",1,40000
"RELATE",1,29800
"RELATE COVENTRY & WARWICKSHIRE",1,27477
"RELATE EXETER & DISTRICT",1,25118
"RELATE HULL AND EAST YORKSHIRE",1,52056.37
"RELATE LEICESTERSHIRE",1,148000
"REPHAEL HOUSE",1,44736
"RESPECT FOR ALL",1,25000
"RESPOND",1,53000
"RESPONSE ORGANISATION",1,50000
"REVIVAL-WILTSHIRE RAPE AND SEXUAL ABUSE CENTRE",1,68264
"RIBBLE VALLEY CROSSROADS",1,28293.93
"RICHMOND BOROUGH MIND",1,25754
"ROCHDALE AND DISTRICT MIND",1,411217.4
"ROSSENDALE HOSPICE",1,239704
"ROTHERHAM CROSSROADS-CARING FOR CARERS",1,452416
"ROWANS HOSPICE",1,239683.44
"ROWCROFT HOUSE FOUNDATION LIMITED",1,2280964.34
"ROYAL ALFRED SEAFARERS' SOCIETY",1,142247.86
"ROYAL BRITISH LEGION INDUSTRIES LTD.",1,53593.66
"ROYAL COLLEGE OF PAEDIATRICS AND CHILD HEALTH",1,43818.6
"SAFE! SUPPORT FOR YOUNG PEOPLE AFFECTED BY CRIME LIMITED",1,50000
"SAFECARE NETWORK LIMITED",1,759379.45
"SAFER LONDON",1,30000
"SALFORD COMMUNITY LEISURE LIMITED",1,156648.6
"SALFORD CVS",1,2056000
"SALFORD FOUNDATION LIMITED",1,46121
"SALFORD HEALTH MATTERS COMMUNITY INTEREST COMPANY",1,243267.8
"SALFORD PRIMARY CARE TOGETHER CIC",1,6357565.78
"SALFORD WOMEN'S AID",1,60152
"SALTBOX",1,104666
"SANCTUARY HOME CARE LIMITED",1,28928.56
"SANCTUARY HOUSING ASSOCIATION",1,262881
"SANDWELL COUNCIL OF VOLUNTARY ORGANISATIONS (S.C.V.O.)",1,38000
"SEESAW",1,35000
"SEFTON COUNCIL FOR VOLUNTARY SERVICE",1,26614.39
"SEFTON WOMEN'S & CHILDREN'S AID",1,28533.96
"SELF HELP NOTTINGHAM",1,140000
"SERVICE SIX",1,145101
"SERVOL COMMUNITY TRUST",1,25484
"SHARING VOICES (BRADFORD)",1,283633.5
"SHEFFIELD FUTURES",1,88000
"SHOOTING STAR CHILDREN'S HOSPICES",1,26240
"SHROPSHIRE MIND",1,145000
"SICKLE CELL AND THALASSAEMIA SUPPORT PROJECT (WOLVERHAMPTON)",1,106451.16
"SIGHT SUPPORT DERBYSHIRE",1,40310.4
"SIGNHEALTH",1,49840
"SIRONA CARE & HEALTH C.I.C.",1,57977958.7
"SISTERS OF CHARITY OF ST VINCENT DE PAUL",1,121821.15
"SKILLS FOR CARE LTD",1,45213.6
"SMART",1,220000
"SOCIAL ACTION FOR HEALTH",1,199500
"SOCIAL ADVENTURES LIMITED",1,510476
"SOLACE SURVIVING EXILE AND PERSECUTION",1,36800
"SOLACE WOMEN'S AID",1,37632
"SOLENT MIND",1,38628
"SOLIHULL MIND",1,143500
"SOMERSET CARE LIMITED",1,517510.32
"SOUTH BUCKS HOSPICE",1,32743
"SOUTH DURHAM HEALTH C.I.C.",1,3631978.5
"SOUTH LIVERPOOL CITIZENS ADVICE BUREAU",1,629538
"SOUTH NORFOLK HEALTHCARE C.I.C.",1,384876
"SOUTHPORT & FORMBY CANCER INFORMATION & SUPPORT CENTRE CIC",1,70000
"SOUTHSIDE REHABILITATION LIMITED",1,147639.12
"SPRINGBOARD OPPORTUNITY GROUP",1,25000
"ST ANDREWS HOSPICE",1,574779
"ST BARNABAS HOSPICE",1,1687759.48
"ST BENEDICTS HOSPICE",1,265000
"ST CLARE'S HOSPICE",1,731956.2
"ST GEMMA'S HOSPICE",1,2779157.77
"ST HELENS CHAMBER LIMITED",1,60580.8
"ST JOSEPH'S FAMILY CENTRE",1,25000
"ST JOSEPH'S HOSPICE ASSOCIATION",1,25374.8
"ST MARGARET'S SOMERSET HOSPICE",1,2419701.66
"ST MARTINS HOUSING TRUST",1,56405
"ST MICHAEL'S HOSPICE",1,1579849
"ST MICHAEL'S HOSPICE (NORTH HAMPSHIRE)",1,854274
"ST MICHAEL'S HOSPICE HASTINGS AND ROTHER",1,2355497.8
"ST MUNGOS",1,1734808
"ST NICHOLAS HOSPICE SUFFOLK",1,944972
"ST PETER'S HOSPICE",1,1683326
"ST ROCCO'S HOSPICE",1,1017448.75
"ST VINCENTS NURSING HOME",1,25915.6
"ST. ELIZABETH HOSPICE (SUFFOLK)",1,1493551.38
"ST. JOHN'S HOSPICE NORTH LANCASHIRE AND SOUTH LAKES",1,1566696.46
"ST. LEONARD'S HOSPICE YORK",1,1541570
"START IN SALFORD",1,436060
"STAYWELL",1,339809
"STEP ONE CHARITY",1,881367.81
"STOCKDALES OF SALE, ALTRINCHAM & DISTRICT LTD",1,32255.46
"STREET SUPPORT NETWORK LTD",1,70000
"STREETWISE YOUNG PEOPLES PROJECT",1,78250
"STROUD COURT COMMUNITY TRUST LIMITED",1,194855.56
"STUDENT LIFE (SUFFOLK) CIC",1,25000
"SUFFOLK BROKERAGE LIMITED",1,83000
"SUFFOLK USER FORUM",1,31500
"SUNDERLAND CARERS CENTRE",1,46000
"SUNDERLAND COUNSELLING SERVICES",1,1237033.9
"SUNDERLAND MIND",1,178220.33
"SUNDERLAND PEOPLE FIRST CO-OPERATIVE COMMUNITY INTEREST COMPANY",1,25000
"SUPPORT STAFFORDSHIRE",1,69810
"SURREY CARE ASSOCIATION LIMITED",1,27000
"SURREY INDEPENDENT LIVING COUNCIL",1,109137.47
"SURVIVORS MANCHESTER",1,30217
"SUSSEX OAKLEAF HOUSING ASSOCIATION LIMITED",1,330593
"SUTTON MENTAL HEALTH FOUNDATION",1,101601.96
"SWAN HOUSING ASSOCIATION LIMITED",1,102122.26
"TARPORLEY WAR MEMORIAL HOSPITAL TRUST",1,313000
"TEENS IN CRISIS",1,322993.67
"TELFORD AND WREKIN CVS",1,66843
"TENDRING COMMUNITY VOLUNTARY SERVICES",1,301000
"TERAPIA",1,146340
"THAMES REACH",1,1651207
"THANET HEALTH COMMUNITY INTEREST COMPANY",1,242908.02
"THE BROMLEY BY BOW CENTRE",1,5011734.86
"THE CASSEL CENTRE",1,96470
"THE CELLAR TRUST",1,309119.25
"THE CHASELEY TRUST",1,63413.14
"THE CONFEDERATION, HILLINGDON CIC",1,4860477.41
"THE DISABILITY RESOURCE CENTRE",1,111261.92
"THE DONNA LOUISE TRUST",1,34641.25
"THE DOVE SERVICE",1,132950
"THE DUDLEY COUNCIL FOR VOLUNTARY SERVICE",1,604760.96
"THE FIVE TOWNS PLUS HOSPICE FUND LIMITED",1,799737.5
"THE FOUNTAIN CENTRE",1,25765
"THE GREEN HOUSE BRISTOL",1,137074
"THE HARBOUR",1,57639
"THE HEART OF KENT HOSPICE",1,485896.95
"THE HOPE ATRIUM C.I.C.",1,100394
"THE HOSPITAL OF GOD AT GREATHAM",1,209076.25
"THE JESSIE MAY TRUST",1,110662.75
"THE LAURA CENTRE",1,25243
"THE LINK (REDCAR) CIC",1,42968.45
"THE LOCALITY HEALTH CENTRE CIC",1,523632.58
"THE LONDON COMMUNITY FOUNDATION",1,60000
"THE MARKET PLACE (LEEDS)",1,262295
"THE MARY FRANCES TRUST",1,129187
"THE MARY STEVENS HOSPICE",1,510800
"THE MAYFIELD TRUST",1,655784.55
"THE NATIONAL DEVELOPMENT TEAM FOR INCLUSION",1,102960
"THE NEXT STEP TRUST",1,427813.38
"THE NORFOLK HOSPICE",1,377898.31
"THE OAKLEA TRUST",1,29815.01
"THE OPPORTUNITY CAFE COMMUNITY INTEREST COMPANY",1,60000
"THE ORCHARD MEDICAL PRACTICE C.I.C.",1,192025.91
"THE PLUSS ORGANISATION CIC",1,144842.28
"THE POINT OF CARE FOUNDATION",1,31339.2
"THE ROTHERHAM HOSPICE TRUST",1,3778156.56
"THE ROYAL BRITISH LEGION",1,28608.29
"THE ROYAL COLLEGE OF GENERAL PRACTITIONERS",1,159600
"THE ROYAL MASONIC BENEVOLENT INSTITUTION",1,339731.91
"THE ROYAL MASONIC BENEVOLENT INSTITUTION CARE COMPANY",1,112379.39
"THE ROYAL NAVAL BENEVOLENT SOCIETY FOR OFFICERS",1,27521.28
"THE ROYAL STAR & GARTER HOMES",1,151741.37
"THE SANDWELL COMMUNITY CARING TRUST",1,81791.76
"THE SANDWELL CROSSROADS CARE ATTENDANT SCHEME LIMITED",1,48718.33
"THE SHAKESPEARE HOSPICE",1,123264
"THE ST PETER AND ST JAMES CHARITABLE TRUST",1,170944
"THE SUSSEX BEACON",1,566788
"THE TOBY HENDERSON TRUST LIMITED",1,50000
"THE TOGETHER TRUST",1,344685.17
"THE TOWER PROJECT",1,32271.36
"THE VOLUNTARY NETWORK",1,30000
"THE WELL COMMUNITIES C.I.C.",1,33074.34
"THE WILBERFORCE TRUST",1,32487.52
"THE WILLIAM MERRITT DISABLED LIVING CENTRE",1,129000
"THE WORKFORCE DEVELOPMENT TRUST LIMITED",1,30000
"THE YOUNG BARNET FOUNDATION",1,50000
"THERA TRUST",1,30058.94
"THINK AHEAD COMMUNITY STROKE GROUP",1,75000
"THREE CS SUPPORT",1,734501.5
"TIME TO TALK WEST BERKSHIRE",1,30000
"TOGETHER COLLECTIVE",1,355000
"TOGETHER FIRST LIMITED",1,1625439.17
"TOWER HAMLETS GP CARE GROUP CIC",1,17178323.61
"TRAFFORD CARERS CENTRE",1,170000
"TREETOPS HOSPICE TRUST",1,513478.89
"TRIDENT REACH THE PEOPLE CHARITY",1,68351.08
"TWO SAINTS LIMITED",1,50000
"TYNE AND WEAR CARE ALLIANCE COMMUNITY INTEREST COMPANY",1,52859
"TYNE HOUSING ASSOCIATION LIMITED",1,35807
"UNITED RESPONSE",1,25246.53
"UNIVERSITY OF GLOUCESTERSHIRE",1,107916.67
"URBAN CHALLENGE LTD",1,71696
"UTTLESFORD COMMUNITY TRAVEL",1,33661
"VERSUS ARTHRITIS",1,44000
"VETERANS IN COMMUNITIES",1,80000
"VETERANS IN CRISIS COMMUNITY INTEREST COMPANY",1,55000
"VIADUCT CARE C.I.C.",1,3788980.08
"VICTIM SUPPORT",1,66267.6
"VIETNAMESE MENTAL HEALTH SERVICES",1,109100
"VISION HOMES ASSOCIATION",1,126844.87
"VISTA",1,27627.43
"VOLUNTARY ACTION CAMDEN",1,50000
"VOLUNTARY ACTION LEEDS",1,102600
"VOLUNTARY ACTION STOKE ON TRENT",1,30000
"VOLUNTARY SECTOR NORTH WEST",1,33980
"VOLUNTEER CORNWALL",1,170000
"VOSCUR LIMITED",1,52598.4
"VRANCH HOUSE SCHOOL & CENTRE",1,1567222
"WAKEFIELD AND DISTRICT HOUSING LIMITED",1,130000
"WAKEFIELD HOSPICE",1,1008658
"WALSALL CARDIAC REHABILITATION TRUST",1,268200
"WANDSWORTH BEREAVEMENT SERVICE",1,102128
"WANDSWORTH CARE ALLIANCE",1,100800
"WANDSWORTH CITIZENS ADVICE BUREAUX LIMITED",1,87900
"WARRINGTON COMMUNITY LIVING",1,33939
"WARRINGTON DISTRICT CITIZENS ADVICE BUREAU",1,59934.07
"WARRINGTON PRIMARY CARE C.I.C.",1,789808.64
"WARWICKSHIRE COMMUNITY AND VOLUNTARY ACTION",1,101722
"WASHINGTON MIND",1,382660.64
"WEARSIDE WOMEN IN NEED",1,115000
"WELDMAR HOSPICECARE TRUST",1,1831143.33
"WELL",1,94987.64
"WELLBEING ENTERPRISES CIC",1,389235
"WELLSBOURNE HEALTHCARE CIC",1,1438564.2
"WELMEDE HOUSING ASSOCIATION LIMITED",1,70578.86
"WESSEX AUTISTIC SOCIETY",1,386257.6
"WESSEX CANCER TRUST",1,119646
"WEST CAMBS FEDERATION CIC",1,784126
"WEST KENT HEALTH LIMITED",1,1634582
"WEST KENT MIND",1,49635
"WEST LANCASHIRE CRISIS AND INFORMATION CENTRE",1,25000
"WEST LANCS PEER SUPPORT",1,93219.75
"WEST LONDON CENTRE FOR COUNSELLING",1,282795.75
"WEST MIDLANDS MANAGED CARE CIC",1,156764.36
"WEST NORFOLK MIND",1,25000
"WESTON HOSPICECARE LIMITED",1,609106.12
"WHITE HOUSE CANCER SUPPORT LIMITED",1,46210
"WHIZZ-MOBILITY C.I.C.",1,920773.6
"WIGAN AND LEIGH HOSPICE",1,2108632.5
"WILLOW WOOD HOSPICE",1,519462
"WILTSHIRE CENTRE FOR INDEPENDENT LIVING LIMITED",1,49980
"WINDSOR & MAIDENHEAD YOUTH & COMMUNITY COUNSELLING SERVICE",1,30000
"WINSTON'S WISH (A GRIEF SUPPORT PROGRAMME FOR CHILDREN)",1,75000
"WITTON LODGE COMMUNITY ASSOCIATION",1,60060
"WOLVERHAMPTON VOLUNTARY SECTOR COUNCIL",1,302442.5
"WORKING WELL TRUST",1,169010
"WPH COUNSELLING & EDUCATION SERVICE (INCORPORATING WALSALL PREGNANCY HELP)",1,129500
"XPERT HEALTH TRAINING AND EDUCATION LTD",1,26402.88
"YELLOW DOOR",1,25000
"YMCA EAST SURREY",1,25000
"YMCA LEICESTERSHIRE",1,36228
"YORK ROAD PROJECT",1,25000
"YORKSHIRE AMBULANCE SERVICE NHS TRUST CHARITIES",1,30000
"YORKSHIRE CANCER RESEARCH",1,75000
"YOUNG GLOUCESTERSHIRE",1,50000
"YOUNG LIVES CONSORTIUM",1,245000
"YOUNG MINDS",1,41540
"YOUNG PEOPLE CORNWALL",1,62500
"YOUNG PERSONS ADVISORY SERVICE",1,1676645.5
"YOUR HOUSING GROUP LIMITED",1,27080.89
"YOUTH ENQUIRY SERVICE (PLYMOUTH) LIMITED",1,843835.99
"YOUTH SPORT TRUST",1,139253
"YOUTH WORKS NORTHAMPTONSHIRE",1,110734
"AGE CONCERN ROTHERHAM LIMITED",1,630963
"CINDERFORD ARTSPACE",1,35000
"HOMEWISE SOCIETY",1,57000
"BARNET REFUGEE SERVICE",1,64000
"THE TALK FOR HEALTH COMPANY LTD",1,74958.98
"AGE UK OXFORDSHIRE",1,274952
"PENROSE HOUSING ASSOCIATION LIMITED",1,563711
"BARNSLEY HEALTHCARE FEDERATION CIC",1,5207824.55
"HERTS URGENT CARE LIMITED",1,95650.1
"THE PRIMROSE HOSPICE LIMITED",1,113678.49
"THE WHAT? CENTRE LIMITED",1,247500
"THE SHAW FOUNDATION LIMITED",1,1041626.25
"JULIA'S HOUSE LIMITED",1,164518
"ALZHEIMER'S & DEMENTIA SUPPORT SERVICES",1,201500
"SECOND STEP LIMITED",1,2583981.25
"THE RETREAT YORK",1,187499.97
"RE-GAIN (CORNWALL) COMMUNITY INTEREST COMPANY",1,140698
"EMBRACE ALL CIC",1,29504.36
"THE ASSOCIATION FOR YOUNG PEOPLE'S HEALTH",1,26100
"THE END OF LIFE PARTNERSHIP LIMITED",1,35119.91
"BEYOND PSYCHOLOGY LTD",1,25000
"HEANTUN HOUSING ASSOCIATION LIMITED",1,73305
"MCCH SOCIETY LIMITED",1,132141.32
"COMPLETE OPHTHALMIC SERVICES C.I.C.",1,682082
"PRINCIPIA: PARTNERS IN HEALTH LIMITED",1,156384.15
"THE AVENUES TRUST GROUP",1,613425.09
"THE SOCIAL INVESTMENT BUSINESS LIMITED",1,63156
"CROSSROADS CARE CHESHIRE, MANCHESTER & MERSEYSIDE LIMITED",1,27535.47
