"ID","SUPPLIER_STANDARD_NAME","Invoices","Spending"
477,"BLYTHE HOUSE HOSPICE",2,247734
478,"AGE UK WILTSHIRE",1,247660
479,"THE WHAT? CENTRE LIMITED",6,247500
480,"KENSINGTON AND CHELSEA MENTAL HEALTH ASSOCIATION",4,246600
481,"THE END OF LIFE PARTNERSHIP LIMITED",6,246210
482,"YOUNG LIVES CONSORTIUM",2,245000
483,"RED ZEBRA COMMUNITY SOLUTIONS",4,243690
484,"SALFORD HEALTH MATTERS COMMUNITY INTEREST COMPANY",2,243267.8
485,"THANET HEALTH COMMUNITY INTEREST COMPANY",6,242908.02
486,"CAUSEWAY CARE C.I.C.",5,242452.5
487,"DEMENTIA CONCERN",4,242000
488,"ACTION FOR CARERS (OXFORDSHIRE) LTD",2,240000
489,"ROSSENDALE HOSPICE",2,239704
490,"ROWANS HOSPICE",4,239683.44
491,"DARNALL WELL-BEING CENTRE LIMITED",2,236337.27
492,"WESTMINSTER MIND",7,235213.5
493,"EATING DISORDERS SUPPORT",3,234512.94
494,"COMMUNITY ACTION HAMPSHIRE",2,232016
495,"AGE UK SOUTH GLOUCESTERSHIRE LTD",6,229688
496,"BRISTOL MIND",1,225919
497,"AGE UK SUTTON",4,225189.6
498,"CHUMS SOCIAL ENTERPRISE C.I.C.",4,223392.75
499,"CRUSE BEREAVEMENT CARE",4,222261.5
500,"MERSEYSIDE YOUTH ASSOCIATION LIMITED",6,222236
501,"SMART",4,220000
502,"LONGFIELD HOSPICE CARE",1,219639
503,"AMICA CARE TRUST",7,217275.4
504,"BRITISH INSTITUTE OF LEARNING DISABILITIES",3,215797.5
505,"MENCAP",5,210048.5
506,"L I V E S",7,209713.68
507,"THE HOSPITAL OF GOD AT GREATHAM",5,209076.25
508,"CANCER SUPPORT YORKSHIRE",4,207156
509,"CHILDREN AND YOUNG PEOPLE'S EMPOWERMENT PROJECT LIMITED",4,205485
510,"FAVERSHAM COUNSELLING SERVICE LIMITED",7,204960
511,"UNIVERSITY OF CUMBRIA",3,203600
512,"YOUNGER PEOPLE WITH DEMENTIA (BERKSHIRE) CIO",5,203094
513,"ALZHEIMER'S & DEMENTIA SUPPORT SERVICES",6,201500
514,"BALANCE (SUPPORT) CIC",5,199603.4
515,"SOCIAL ACTION FOR HEALTH",4,199500
516,"INCLUSION NORTH COMMUNITY INTEREST COMPANY",5,199400
517,"NUFFIELD HOSPITALS",4,199158
518,"FRIENDS OF THE ELDERLY",6,197859.34
519,"COMMUNITY SUPPORT NETWORK",5,197110
520,"PATHWAYS ASSOCIATES COMMUNITY INTEREST COMPANY",3,196000
521,"STROUD COURT COMMUNITY TRUST LIMITED",7,194855.56
522,"AGE UK BRIGHTON & HOVE",5,194487
523,"ALL HALLOWS HEALTHCARE TRUST",3,194146.2
524,"THE ORCHARD MEDICAL PRACTICE C.I.C.",5,192025.91
525,"COMMUNITY BARNET",3,191499.98
526,"BRADFORD AND DISTRICT COMMUNITY EMPOWERMENT NETWORK LIMITED",5,190607
527,"THE RETREAT YORK",3,187499.97
528,"RECOCO",4,186550.2
529,"VOLUNTARY ACTION CALDERDALE",4,182000
530,"ACCI",4,180896
531,"COVERAGE CARE LIMITED",4,180673.53
532,"DIABETES UK",4,180382.15
533,"SENSE, THE NATIONAL DEAFBLIND AND RUBELLA ASSOCIATION",4,179109.9
534,"BETHEL HEALTH AND HEALING NETWORK",6,178550
535,"TRELOAR TRUST",5,178260.53
536,"SUNDERLAND MIND",5,178220.33
537,"PSS",5,178150.52
538,"IMAGINE",5,177698.52
539,"CHANGES HEALTH & WELLBEING",4,177324.8
540,"CONDOVER COLLEGE LIMITED",2,176494.37
541,"CARE NETWORK",4,174148
542,"RUSKIN MILL TRUST LIMITED",4,173996.86
543,"THE ST PETER AND ST JAMES CHARITABLE TRUST",1,170944
544,"OPEN AGE",4,170000
545,"TRAFFORD CARERS CENTRE",4,170000
546,"VOLUNTEER CORNWALL",4,170000
547,"WORKING WELL TRUST",4,169010
548,"FRANCIS HOUSE",3,166939
549,"ENABLE LEISURE AND CULTURE",3,166258
550,"THE KING'S FUND",3,165680
551,"COMMUNITY COUNCIL FOR SOMERSET",2,165400
552,"JULIA'S HOUSE LIMITED",2,164518
553,"LEEDS JEWISH WELFARE BOARD",2,161355.61
554,"KENT SURREY SUSSEX AHSN LIMITED",5,161218.02
555,"ENFIELD DISABILITY ACTION",3,161153.16
556,"THE ROYAL COLLEGE OF GENERAL PRACTITIONERS",4,159600
557,"BRADFORD RAPE CRISIS AND SEXUAL ABUSE SURVIVORS SERVICE",4,158930
558,"ADVANCE HOUSING AND SUPPORT LTD",3,158615.25
559,"WEST MIDLANDS MANAGED CARE CIC",4,156764.36
560,"SALFORD COMMUNITY LEISURE LIMITED",5,156648.6
561,"PRINCIPIA: PARTNERS IN HEALTH LIMITED",1,156384.15
562,"CARERS LEEDS",2,156250
563,"CLAIRE HOUSE",2,154000
564,"HFT",2,153380.15
565,"KEYRING-LIVING SUPPORT NETWORKS",5,152700
566,"CARE SOUTH",5,151975.59
567,"HEADWAY BEDFORD",5,151797.5
568,"THE ROYAL STAR & GARTER HOMES",5,151741.37
569,"MOSAIC II",5,151525
570,"BCOP",4,148269
571,"RELATE LEICESTERSHIRE",2,148000
572,"SOUTHSIDE REHABILITATION LIMITED",3,147639.12
573,"WAYMARKS LIMITED",3,147301.71
574,"BOW HEALTH NETWORK CIC",2,147300.96
575,"MANCHESTER CARE AND REPAIR",1,147000
576,"OPTIVO",1,146571.75
577,"HEALTHWATCH BOLTON",3,146362
578,"TERAPIA",3,146340
579,"AFFINITY TRUST",4,146315.77
580,"COMMUNICARE IN SOUTHAMPTON",3,146112
581,"SERVICE SIX",4,145101
582,"SHROPSHIRE MIND",4,145000
583,"FAMILY MATTERS",3,144990
584,"CLD TRUST",4,144947
585,"THE PLUSS ORGANISATION CIC",4,144842.28
586,"ACCESS COMMUNITY TRUST",3,143648.2
587,"LANCASHIRE MIND LIMITED",2,143548.25
588,"SOLIHULL MIND",3,143500
589,"ROYAL ALFRED SEAFARERS' SOCIETY",5,142247.86
590,"GATESHEAD COMMUNITY BASED CARE SERVICES LIMITED",5,141958.3
591,"RE-GAIN (CORNWALL) COMMUNITY INTEREST COMPANY",4,140698
592,"AGE UK NORTH WEST KENT",3,140000
593,"MOSAIC CLUBHOUSE",2,140000
594,"SELF HELP NOTTINGHAM",1,140000
595,"HEALTH YOUR WAY C.I.C.",4,139383.38
596,"YOUTH SPORT TRUST",2,139253
597,"NAZARETH CARE CHARITABLE TRUST",4,138178.27
598,"AGE UK CHESHIRE",5,138013.35
599,"AGE CONCERN ESSEX",4,137963
600,"FORTIS LIVING LIMITED",3,137580
601,"CHOICES HOUSING ASSOCIATION LIMITED",4,137399.46
602,"THE GREEN HOUSE BRISTOL",3,137074
603,"HOME-START (HULL)",5,136117.38
604,"YOUNG EPILEPSY",4,135970.54
605,"CLOVERLEAF ADVOCACY 2000 LTD",4,134381
606,"CARERS FEDERATION LTD",3,134289
607,"AGE CONCERN DEAL CENTRE FOR THE RETIRED LIMITED",2,134000
608,"BRENT CENTRE FOR YOUNG PEOPLE",4,133728
609,"MANOR GARDENS WELFARE TRUST",4,133328
610,"THE DOVE SERVICE",4,132950
611,"MCCH SOCIETY LIMITED",2,132141.32
612,"ACTIVE GLOUCESTERSHIRE",1,132096
613,"VENUS WORKING CREATIVELY WITH YOUNG WOMEN",4,131096.96
614,"CANCERCARE (NORTH LANCASHIRE & SOUTH CUMBRIA)",2,131075
615,"HEALTH EXCHANGE",2,130131
616,"AUTISM-IN-MIND COMMUNITY INTEREST COMPANY",2,130000
617,"SOUTH YORKSHIRE EATING DISORDERS ASSOCIATION",4,130000
618,"WAKEFIELD AND DISTRICT HOUSING LIMITED",2,130000
619,"WPH COUNSELLING & EDUCATION SERVICE (INCORPORATING WALSALL PREGNANCY HELP)",4,129500
620,"THE MARY FRANCES TRUST",4,129187
621,"THE WILLIAM MERRITT DISABLED LIVING CENTRE",3,129000
622,"DISABILITY NORTH",4,128995.31
623,"BLACK COUNTRY WOMEN'S AID",3,127108.25
624,"VISION HOMES ASSOCIATION",2,126844.87
625,"HOMELESS HEALTH C.I.C.",4,126012.84
626,"AGE CONCERN LUTON",4,125000
627,"BIRMINGHAM CITIZENS ADVICE BUREAU SERVICE LTD",3,125000
628,"CROSSROADS CARE WEST KENT",5,125000
629,"HERRIOT HOSPICE HOMECARE",5,125000
630,"THE SHAKESPEARE HOSPICE",3,123264
631,"AVALON GROUP (SOCIAL CARE)",2,122727.14
632,"BRITISH HOME AND HOSPITAL FOR INCURABLES",4,122713.11
633,"OPTIONS FOR LIFE",4,122095.14
634,"DAME HANNAH ROGERS TRUST",1,121971.3
635,"SISTERS OF CHARITY OF ST VINCENT DE PAUL",3,121821.15
636,"BUCKINGHAMSHIRE MIND",4,121710
637,"AUTISM.WEST MIDLANDS",3,121440.63
638,"APPROACH SUPPORTING YOUR LIFE YOUR WAY",4,120000
639,"WESSEX CANCER TRUST",1,119646
640,"THE BRANDON TRUST",4,119535.65
641,"GROUNDSWELL",4,119500
642,"BIRMINGHAM EDUCATION PARTNERSHIP LIMITED",1,118300
643,"CITIZENS ADVICE SORT GROUP",4,118160.14
644,"AGE UK GATESHEAD",4,118102
645,"NEURO THERAPY CENTRE LTD",4,117837
646,"CARALINE",3,117280
647,"MENTAL HEALTH NORTHANTS COLLABORATION",2,117009
648,"AGE UK LAMBETH",4,116500
649,"WEARSIDE WOMEN IN NEED",1,115000
650,"ST GEORGE'S DAY CENTRE (BOLTON) LTD",4,114218.24
651,"THE PRIMROSE HOSPICE LIMITED",4,113678.49
652,"HARLINGTON HOSPICE ASSOCIATION",3,113028.72
653,"DUDLEY STROKE ASSOCIATION",1,112886
654,"THE ROYAL MASONIC BENEVOLENT INSTITUTION CARE COMPANY",1,112379.39
655,"AQUARIUS",1,111645.75
656,"EPIC ELM C.I.C.",4,111600
657,"THE DISABILITY RESOURCE CENTRE",4,111261.92
658,"YOUTH WORKS NORTHAMPTONSHIRE",4,110734
659,"THE JESSIE MAY TRUST",3,110662.75
660,"NATIONAL ASSOCIATION OF PRIMARY CARE LIMITED",2,110640
661,"AGE UK HERNE BAY",1,110614
662,"BIRMINGHAM DISABILITY RESOURCE CENTRE",2,110110
663,"LACE HOUSING LIMITED",1,110000
664,"SURREY INDEPENDENT LIVING COUNCIL",4,109137.47
665,"VIETNAMESE MENTAL HEALTH SERVICES",4,109100
666,"PORCHLIGHT",3,108333.34
667,"AGE UK FAVERSHAM AND SITTINGBOURNE",3,108000
668,"UNIVERSITY OF GLOUCESTERSHIRE",3,107916.67
669,"THE ROYAL COLLEGE OF PHYSICIANS OF LONDON",2,107766.6
670,"SKILLS FOR PEOPLE",3,107350
671,"SICKLE CELL AND THALASSAEMIA SUPPORT PROJECT (WOLVERHAMPTON)",4,106451.16
672,"HF TRUST LIMITED",3,106108.16
673,"OSEL ENTERPRISES LIMITED",4,105624
674,"AGE UK TAMESIDE",3,105387
675,"DESIGNS IN MIND C.I.C.",1,105000
676,"SALTBOX",4,104666
677,"ATRIUM HEALTH LTD",4,104248.06
678,"DARLINGTON CITIZENS ADVICE BUREAU",4,103800
679,"ENCOMPASS (DORSET)",3,103170.42
680,"HEAR US",4,103036.4
681,"THE NATIONAL DEVELOPMENT TEAM FOR INCLUSION",2,102960
682,"VOLUNTARY ACTION LEEDS",3,102600
683,"WANDSWORTH BEREAVEMENT SERVICE",4,102128
684,"SWAN HOUSING ASSOCIATION LIMITED",3,102122.26
685,"WARWICKSHIRE COMMUNITY AND VOLUNTARY ACTION",3,101722
686,"SUTTON MENTAL HEALTH FOUNDATION",4,101601.96
687,"MY SUPPORT BROKER C.I.C.",2,100803.8
688,"WANDSWORTH CARE ALLIANCE",2,100800
689,"THE HOPE ATRIUM C.I.C.",2,100394
690,"BRIDGE 86 LIMITED",1,1e+05
691,"NORTH BANK FORUM",4,1e+05
692,"LINCOLNSHIRE COMMUNITY AND VOLUNTARY SERVICE",1,99630
693,"RNIB",2,97237.1
694,"AGE UK SHROPSHIRE TELFORD & WREKIN",2,96952
695,"THE CASSEL CENTRE",1,96470
696,"MIND IN ENFIELD",3,96102
697,"HERTS URGENT CARE LIMITED",3,95650.1
698,"WELL",3,94987.64
699,"CROSSROADS IN EAST LANCASHIRE LIMITED",1,94926
700,"BROTHERS OF CHARITY SERVICES",2,94431.54
701,"NORTHORPE HALL CHILD & FAMILY TRUST",2,94174
702,"WEST LANCS PEER SUPPORT",3,93219.75
703,"REAL DPO LTD",1,92399.84
704,"EIKON",3,92000
705,"QUEEN'S HALL ACTION ON POVERTY",1,91989
706,"CROSBY HOUSING ASSOCIATION",2,90769
707,"NORTH TYNESIDE VOLUNTARY ORGANISATIONS DEVELOPMENT AGENCY",2,90670
708,"THE ROYAL NATIONAL INSTITUTE OF BLIND PEOPLE",3,90649.82
709,"WESSEX CHILDREN'S HOSPICE TRUST",3,90600
710,"ALBION IN THE COMMUNITY",2,90000
711,"KANE FM LIMITED",2,90000
712,"NESTA",1,90000
713,"THE INNOVATION UNIT LIMITED",2,89982
714,"SHEFFIELD FUTURES",1,88000
715,"WANDSWORTH CITIZENS ADVICE BUREAUX LIMITED",2,87900
716,"MYTIME ACTIVE",3,86105
717,"VOLUNTARY SUPPORT NORTH SURREY",2,85088
718,"ADHD NORTH WEST",2,84643
719,"CROYDON YOUTH INFORMATION AND COUNSELLING SERVICE LIMITED",3,83688.75
720,"BRITISH REFUGEE COUNCIL",2,83215
721,"SUFFOLK BROKERAGE LIMITED",1,83000
722,"ENHAM TRUST",3,82973.69
723,"CONNECTION SUPPORT",2,82478.2
724,"BASE 25",3,82155
725,"P3",3,82155
726,"ROWAN ORGANISATION",2,81928.99
727,"THE SANDWELL COMMUNITY CARING TRUST",2,81791.76
728,"ADDVANCED SOLUTIONS COMMUNITY NETWORK CIC",2,81316.8
729,"MANCHESTER CARERS CENTRE",1,80904
730,"HOME-START HOST LTD",2,80742
731,"THE STAFF COLLEGE: LEADERSHIP IN HEALTHCARE",2,80705
732,"HORTON HOUSING ASSOCIATION",2,80696.5
733,"MOSAIC 1898 LTD",2,80072.88
734,"MINDSONG",2,80000
735,"VETERANS IN COMMUNITIES",1,80000
736,"YOUR VOICE COUNTS",2,79999
737,"DORSET ADVOCACY",3,79656
738,"NORTH EAST AUTISM SOCIETY",2,78416.46
739,"STREETWISE YOUNG PEOPLES PROJECT",2,78250
740,"CHRISTCHURCH HOUSING SOCIETY",2,77837.47
741,"HEADWAY ESSEX",1,76730.15
742,"EDWARD'S TRUST",2,76160
743,"CUMBRIA COUNCIL FOR VOLUNTARY SERVICE",2,75000
744,"DERIAN HOUSE CHILDRENS HOSPICE",1,75000
745,"FACT",1,75000
746,"HELEN & DOUGLAS HOUSE",3,75000
747,"MAKING YOUR MIND UP CIC",1,75000
748,"OPEN DOOR, YOUNG PEOPLE'S CONSULTATION SERVICE",1,75000
749,"THINK AHEAD COMMUNITY STROKE GROUP",3,75000
750,"WINSTON'S WISH (A GRIEF SUPPORT PROGRAMME FOR CHILDREN)",1,75000
751,"YORKSHIRE CANCER RESEARCH",1,75000
752,"THE TALK FOR HEALTH COMPANY LTD",2,74958.98
753,"MIND IN BARNET",2,74763
754,"NDVA",2,74500
755,"AGE UK LEWISHAM AND SOUTHWARK",1,74425
756,"AGE CONCERN BIRMINGHAM",2,73826
757,"HEANTUN HOUSING ASSOCIATION LIMITED",1,73305
758,"CALICO ENTERPRISE LIMITED",2,73200
759,"NATIONAL STAR COLLEGE",2,72325.57
760,"THE CAMPHILL VILLAGE TRUST LIMITED",2,72187.34
761,"BOURNVILLE VILLAGE TRUST",2,71952.51
762,"ADDISS",2,71760.37
763,"NATIONAL AUTISTIC SOCIETY",2,71731.2
764,"URBAN CHALLENGE LTD",1,71696
765,"WELMEDE HOUSING ASSOCIATION LIMITED",1,70578.86
766,"CENTRE 404",2,70077.98
767,"RECOVERY REPUBLIC CIC",2,70000
768,"SOUTHPORT & FORMBY CANCER INFORMATION & SUPPORT CENTRE CIC",1,70000
769,"STREET SUPPORT NETWORK LTD",2,70000
770,"SUPPORT STAFFORDSHIRE",1,69810
771,"KINGSTON VOLUNTARY ACTION",2,69600
772,"COMMUNITY FIRST",2,69400
773,"TRIDENT REACH THE PEOPLE CHARITY",2,68351.08
774,"REVIVAL-WILTSHIRE RAPE AND SEXUAL ABUSE CENTRE",1,68264
775,"SUFFOLK FAMILY CARERS LIMITED",2,67130.19
776,"TELFORD AND WREKIN CVS",2,66843
777,"VICTIM SUPPORT",1,66267.6
778,"PUMPING MARVELLOUS FOUNDATION",1,66000
779,"BRISTOL & DISTRICT TRANQUILLISER PROJECT",1,65498
780,"DEVON PRIMARY CARE COUNSELLING SERVICE CIC",1,65120
781,"ABSOLUTELY CULTURED LIMITED",1,65000
782,"AUTISM INITIATIVES",2,64324.37
783,"BARNET REFUGEE SERVICE",2,64000
784,"THE CHASELEY TRUST",1,63413.14
785,"THE SOCIAL INVESTMENT BUSINESS LIMITED",2,63156
786,"CHILDREN NORTH EAST",1,62500
787,"YOUNG PEOPLE CORNWALL",2,62500
788,"HOLLYBANK SCHOOL",1,61984.44
789,"DEMELZA HOSPICE CARE FOR CHILDREN",2,61655
790,"OPEN ROAD VISIONS",1,61250
791,"AXIS COUNSELLING",1,60600
792,"ST HELENS CHAMBER LIMITED",2,60580.8
793,"COLEG ELIDYR CAMPHILL COMMUNITIES",2,60487.73
794,"SALFORD WOMEN'S AID",1,60152
795,"WITTON LODGE COMMUNITY ASSOCIATION",2,60060
796,"AGE UK NORFOLK",2,60000
797,"FULL OF LIFE",2,60000
798,"MUSEUM OF EAST ANGLIAN LIFE",1,60000
799,"THE LONDON COMMUNITY FOUNDATION",1,60000
800,"THE OPPORTUNITY CAFE COMMUNITY INTEREST COMPANY",1,60000
801,"WARRINGTON DISTRICT CITIZENS ADVICE BUREAU",2,59934.07
802,"HFMA",2,59805.71
803,"HILLINGDON MIND",2,59011
804,"THE HARBOUR",1,57639
805,"KNOW DEMENTIA",2,57450
806,"HOMEWISE SOCIETY",1,57000
807,"GLOUCESTERSHIRE RAPE AND SEXUAL ABUSE CENTRE",2,57000
808,"HEALTHCARE FINANCIAL MANAGEMENT ASSOCIATION",2,56475.24
809,"ST MARTINS HOUSING TRUST",1,56405
810,"THE PROUD TRUST LTD",2,55030
811,"AGE UK KENSINGTON AND CHELSEA",1,55000
812,"HEALTHWATCH SUFFOLK CIC",1,55000
813,"NORTH TYNESIDE COMMUNITY AND HEALTH CARE FORUM COMMUNITY INTEREST COMPANY",2,55000
814,"VETERANS IN CRISIS COMMUNITY INTEREST COMPANY",1,55000
815,"AGE UK ISLE OF WIGHT",1,54971
816,"ACTION TOGETHER CIO",2,54500
817,"CALLPLUS",2,54209.24
818,"COMMUNITY ACTION BRADFORD & DISTRICT LTD.",2,54075
819,"ROYAL BRITISH LEGION INDUSTRIES LTD.",2,53593.66
820,"EMH CARE AND SUPPORT LIMITED",1,53300
821,"RESPOND",1,53000
822,"TYNE AND WEAR CARE ALLIANCE COMMUNITY INTEREST COMPANY",1,52859
823,"HOMESTART",1,52700
824,"VOSCUR LIMITED",1,52598.4
825,"RELATE HULL AND EAST YORKSHIRE",2,52056.37
826,"CALL PLUS",2,52017
827,"DERVENTIO HOUSING TRUST CIC",1,52000
828,"NORFOLK COMMUNITY FOUNDATION",1,52000
829,"B A N D",1,51203
830,"INTERCOM",1,50536
831,"BARNSLEY PREMIER LEISURE",1,50414.4
832,"AGE UK",1,50357.2
833,"NEW LIFE CARE",1,50025
834,"AUTISM FAMILY SUPPORT OXFORDSHIRE",1,50000
835,"BUILDING CIRCLES IN GLOUCESTERSHIRE",1,50000
836,"HEALTHWATCH LAMBETH",1,50000
837,"HEALTHY MINDS",2,50000
838,"MACINTYRE CARE",1,50000
839,"NEURORESPONSE CIC",1,50000
840,"PAPYRUS PREVENTION OF YOUNG SUICIDE",1,50000
841,"PAUL FOR BRAIN RECOVERY",2,50000
842,"RESPONSE ORGANISATION",1,50000
843,"SAFE! SUPPORT FOR YOUNG PEOPLE AFFECTED BY CRIME LIMITED",1,50000
844,"THE TOBY HENDERSON TRUST LIMITED",1,50000
845,"THE YOUNG BARNET FOUNDATION",1,50000
846,"TWO SAINTS LIMITED",1,50000
847,"VOLUNTARY ACTION CAMDEN",2,50000
848,"YOUNG GLOUCESTERSHIRE",1,50000
849,"WILTSHIRE CENTRE FOR INDEPENDENT LIVING LIMITED",1,49980
850,"BANGLADESHI SUPPORT CENTRE",1,49960
851,"CHELSEA AND WESTMINSTER HEALTH CHARITY",1,49950
852,"SIGNHEALTH",1,49840
853,"COUNCIL FOR VOLUNTARY SERVICE (MEDWAY)",1,49813.43
854,"WEST KENT MIND",1,49635
855,"MIDDLESBROUGH ENVIRONMENT CITY TRUST LIMITED",1,49200
856,"IMPROVING LIVES PLYMOUTH",1,49107.5
857,"THE SANDWELL CROSSROADS CARE ATTENDANT SCHEME LIMITED",1,48718.33
858,"CME IN THE COMMUNITY",1,48000
859,"LEARNING DISABILITY NETWORK LONDON LIMITED",1,48000
860,"WHITE HOUSE CANCER SUPPORT LIMITED",1,46210
861,"SALFORD FOUNDATION LIMITED",1,46121
862,"SUNDERLAND CARERS CENTRE",1,46000
863,"HEART OF ENGLAND NHS FOUNDATION TRUST CHARITY",1,45777
864,"IMAGO COMMUNITY",1,45453.3
865,"SKILLS FOR CARE LTD",1,45213.6
866,"FIRST CHOICE HOMES OLDHAM LIMITED",1,45000
867,"REPHAEL HOUSE",1,44736
868,"CHILTERN VALE HEALTH CIC",1,44315.6
869,"VERSUS ARTHRITIS",1,44000
870,"ROYAL COLLEGE OF PAEDIATRICS AND CHILD HEALTH",1,43818.6
871,"THE LINK (REDCAR) CIC",1,42968.45
872,"PRIMARY CARE DEVELOPMENT CENTRE (NOTTINGHAM) LTD",1,42103
873,"CAMDEN CITIZENS ADVICE BUREAUX SERVICE LIMITED",1,41957
874,"YOUNG MINDS",1,41540
875,"OPTIMUM PATIENT CARE LIMITED",1,41520
876,"DEVON LINK UP",1,41400
877,"DURHAM COUNTY CARERS SUPPORT",1,41000
878,"OFF THE RECORD (BRISTOL)",1,41000
879,"AGE CONCERN",1,40800
880,"SIGHT SUPPORT DERBYSHIRE",1,40310.4
881,"ARTLIFT",1,40000
882,"DAISY CHAIN PROJECT TEESSIDE",1,40000
883,"HAMMERSMITH & FULHAM MENCAP",1,40000
884,"HERTS MIND NETWORK LTD",1,40000
885,"HOME-START STROUD AND GLOUCESTER",1,40000
886,"LOFTY HEIGHTS C.I.C.",1,40000
887,"NOTTINGHAMSHIRE LOCAL MEDICAL COMMITTEE LIMITED",1,40000
888,"ONE WALSALL LTD",1,40000
889,"REFUGEE ACTION KINGSTON",1,40000
890,"COMMUNITY PRACTITIONER ALLIANCE C.I.C.",1,39900
891,"PUBLIC SERVICE TRANSFORMATION ACADEMY LIMITED",1,39600
892,"ACTION FOR FAMILY CARERS",1,39510
893,"DIMENSIONS SOMERSET SEV LIMITED",1,39399.82
894,"HAMMERSMITH AND FULHAM ASSOCIATION FOR MENTAL HEALTH",1,38892
895,"HEALTHWATCH SURREY C.I.C.",1,38720
896,"LEEDS BEREAVEMENT FORUM",1,38674
897,"SOLENT MIND",1,38628
898,"CANTERBURY OAST TRUST",1,38096.33
899,"CERT FOUNDATION CIC",1,38000
900,"MOTHERS FOR MOTHERS",1,38000
901,"SANDWELL COUNCIL OF VOLUNTARY ORGANISATIONS (S.C.V.O.)",1,38000
902,"PRESCQIPP C.I.C.",1,37771.2
903,"DERBYSHIRE VOLUNTARY ACTION",1,37699.97
904,"SOLACE WOMEN'S AID",1,37632
905,"NORTH EAST COUNSELLING SERVICES C.I.C.",1,37500
906,"QUANTUM CARE LIMITED",1,37471.43
907,"PENDERELS TRUST",1,37361.31
908,"BLACK HEALTH AGENCY",1,37100
909,"SOLACE SURVIVING EXILE AND PERSECUTION",1,36800
910,"YMCA LEICESTERSHIRE",1,36228
911,"TYNE HOUSING ASSOCIATION LIMITED",1,35807
912,"BROADENING CHOICES FOR OLDER PEOPLE",1,35726.99
913,"AUTISM PLUS LIMITED",1,35537.2
914,"CENTRAL AND CECIL HOUSING TRUST",1,35475.44
915,"PROFESSIONAL RECORD STANDARDS BODY FOR HEALTH AND SOCIAL CARE C.I.C.",1,35343.5
916,"IMPACT INITIATIVES",1,35222
917,"THE END OF LIFE PARTNERSHIP LIMITED",1,35119.91
918,"PIONEER WOUND HEALING CENTRES CIC",1,35026.76
919,"CINDERFORD ARTSPACE",1,35000
920,"ART SHAPE LIMITED",1,35000
921,"HEALTHWATCH HOUNSLOW",1,35000
922,"SEESAW",1,35000
923,"THE DONNA LOUISE TRUST",1,34641.25
924,"BEN - MOTOR AND ALLIED TRADES BENEVOLENT FUND",1,34400
925,"LANGLEY HOUSE TRUST",1,34373.6
926,"DORSET COMMUNITY ACTION",1,34340
927,"CHAPTER (WEST CHESHIRE) LTD",1,34287
928,"CENTRAL NOTTINGHAMSHIRE MIND",1,34154.5
929,"PILGRIM HOMES",1,34145.79
930,"COLEBROOK (SOUTHWEST) LIMITED",1,34140
931,"HEALTHWATCH WAKEFIELD",1,34138
932,"JOHN BENNETT",1,34031.83
933,"VOLUNTARY SECTOR NORTH WEST",1,33980
934,"WARRINGTON COMMUNITY LIVING",1,33939
935,"BME HEALTH FORUM",1,33833
936,"UTTLESFORD COMMUNITY TRAVEL",1,33661
937,"PERTHYN",1,33430.61
938,"MILESTONES",1,33335
939,"BLACKPOOL FC COMMUNITY TRUST",1,33333
940,"AGE CONCERN ENFIELD",1,33240.1
941,"THE WELL COMMUNITIES C.I.C.",1,33074.34
942,"SOUTH BUCKS HOSPICE",1,32743
943,"MURRAY HALL COMMUNITY TRUST",1,32698
944,"THE WILBERFORCE TRUST",1,32487.52
945,"ABBEYFIELD SOCIETY (THE)",1,32459.76
946,"P & R CARE CIC",1,32448
947,"THE TOWER PROJECT",1,32271.36
948,"STOCKDALES OF SALE, ALTRINCHAM & DISTRICT LTD",1,32255.46
949,"FREED BEECHES",1,32216.03
950,"NEUROMUSCULAR CENTRE",1,32000
951,"CATCH 22 CHARITY LIMITED",1,31750
952,"BOARBANK HALL CONVALESCENT HOME, GRANGE-OVER-SANDS",1,31570
953,"ACE",1,31517.33
954,"SUFFOLK USER FORUM",1,31500
955,"THE POINT OF CARE FOUNDATION",1,31339.2
956,"NEW WORTLEY COMMUNITY ASSOCIATION LIMITED",1,31225
957,"BEST BEGINNINGS",1,31000
958,"OPEN MINDS COUNSELLING SERVICE LTD",1,31000
959,"SURVIVORS MANCHESTER",1,30217
960,"THERA TRUST",1,30058.94
961,"AGE CONCERN DUDLEY",1,30000
962,"BLUEBELL CARE TRUST",1,30000
963,"BLUEBELL WOOD CHILDRENS HOSPICE",1,30000
964,"BOURNEMOUTH CVS",1,30000
965,"CARERS' HUB",1,30000
966,"CITIZENS ADVICE BUREAU TENDRING",1,30000
967,"CLUB DONCASTER COMMUNITY SPORTS & EDUCATION FOUNDATION",1,30000
968,"CULTURE SQUARED CIC",1,30000
969,"HELP ON YOUR DOORSTEP",1,30000
970,"LINCOLNSHIRE CARE ASSOCIATION LIMITED",1,30000
971,"PUSHING CHANGE",1,30000
972,"SAFER LONDON",1,30000
973,"THE VOLUNTARY NETWORK",1,30000
974,"THE WORKFORCE DEVELOPMENT TRUST LIMITED",1,30000
975,"TIME TO TALK WEST BERKSHIRE",1,30000
976,"VOLUNTARY ACTION STOKE ON TRENT",1,30000
977,"WINDSOR & MAIDENHEAD YOUTH & COMMUNITY COUNSELLING SERVICE",1,30000
